55.0061,64.5699	53.402,64.6288	51.8747,65.3531	50.3258,65.5849	48.8528,66.3335	47.511,67.0516	46.1187,67.6417	44.6812,68.3832	43.3871,69.471	42.0164,70.3572	41.1262,71.6513	39.5543,72.1232	38.0071,72.6927	36.8828,73.7453	35.7404,74.7528	34.4423,75.7267	33.2044,76.6121	32.0402,77.6286	
55.0351,64.6509	53.381,64.4463	51.9029,65.4613	50.6409,66.5803	49.4094,67.648	48.5035,68.9141	47.9038,70.4092	46.7305,71.416	45.697,72.7883	44.4507,73.7035	43.8471,75.1824	43.3536,76.6747	42.1735,77.7135	41.0196,78.7442	40.0687,79.9529	38.9754,81.2642	38.9539,82.9624	38.0106,84.1896	
55.0253,64.5949	53.5097,65.3249	52.0028,65.903	50.7069,66.8008	49.4448,67.7946	48.5107,69.0269	47.6024,70.4059	46.6212,71.8903	45.8448,73.1727	45.1985,74.5576	44.2662,75.7688	43.355,76.9912	42.3303,78.2763	41.5914,79.6611	40.199,80.4802	38.8461,81.446	37.5858,82.3011	36.2715,83.0852	
55.0177,64.6561	53.4487,64.5597	51.9517,65.2134	50.6558,66.2139	49.1273,66.7896	47.6769,67.2277	46.31,67.9252	45.026,68.9089	43.7818,69.7836	42.2028,69.9695	40.7916,70.5423	39.4158,71.1909	38.3608,72.3896	37.4617,73.6459	36.0753,74.3748	34.7756,75.1771	32.9376,75.2216	31.4719,75.6236	
55.0099,64.6344	53.505,64.9012	52.0776,65.8752	50.7527,66.8011	49.5464,67.9411	48.5008,69.2005	47.7244,70.839	47.1885,72.4007	46.2727,73.7404	45.4475,75.1158	44.9102,76.6838	44.8767,78.2694	44.8898,79.9165	44.7084,81.5577	43.8681,83.0545	42.945,84.4017	41.9847,85.7784	41.321,87.1374	
55.0222,64.6125	53.385,64.172	51.7873,64.2967	50.2222,64.1782	48.6423,64.5964	46.9363,64.6666	45.3492,64.7896	43.8026,65.1186	42.3685,66.0637	41.0498,67.0443	39.4854,67.1779	37.8995,67.9613	36.6441,68.8417	35.5369,69.9542	34.7757,71.5233	34.0203,72.8341	33.0787,74.0455	32.09,75.2044	
55.0227,64.6203	53.4185,64.4107	51.8979,64.6718	50.3657,64.1959	48.7731,64.2007	47.1675,64.514	45.5889,64.7699	44.0079,64.8354	42.5618,63.5236	41.373,62.4162	40.1525,61.3087	38.5076,60.9174	36.8448,61.0662	35.2324,60.6643	33.8744,59.6451	32.4189,61.1331	31.4216,62.5167	30.3867,63.9461	
55.0244,64.641	53.4264,64.7969	52.0842,65.6802	51.0438,67.0473	50.0184,68.2833	49.0847,69.4739	48.2469,70.7332	47.3273,71.9568	46.5198,73.2695	45.1738,74.3271	44.1334,75.4135	43.4994,76.8456	42.9572,78.2734	41.9959,79.5012	40.8899,80.5515	39.9717,81.79	39.2931,83.2015	38.6238,84.6096	
55.0343,64.6468	53.4378,64.4991	51.9923,65.1249	50.5556,65.9506	48.9592,66.1331	47.5166,66.907	46.2083,67.9995	44.7387,68.674	43.2029,69.1747	41.7206,69.4808	40.1137,69.7887	38.8644,70.7419	37.2386,71.0902	35.7097,71.2706	34.1282,71.8935	32.5454,71.5609	30.9971,71.3722	29.3795,71.6164	
54.9958,64.5828	53.4055,64.6505	51.8397,64.7183	50.3936,65.3874	48.8966,65.9918	47.4036,66.6459	46.0196,67.8195	44.572,68.5508	42.7993,68.3861	41.0215,68.2466	39.4959,67.3224	37.965,66.7526	36.3769,66.9377	34.7355,66.5358	33.1188,66.3044	31.5694,66.5917	29.9386,66.5235	28.5519,65.4455	
54.9942,64.5851	53.4247,64.6582	51.9379,64.9965	50.4256,65.4378	48.8701,65.8222	47.5299,66.7872	46.1766,67.6122	44.9469,68.6579	43.6441,69.6016	41.969,70.2041	40.6508,71.0074	39.3408,71.7797	37.8415,72.1284	36.3039,72.5763	35.0261,73.7562	34.0638,74.9873	32.7692,75.829	30.8664,75.7195	
55.0404,64.6352	53.4297,64.367	51.9237,64.6461	50.2975,64.5565	48.6997,64.3057	47.0712,64.3721	45.4863,64.0937	43.9129,63.6604	42.4966,62.7416	41.3276,61.5427	39.9934,60.8008	39.2463,59.1916	38.2215,58.0683	36.2857,57.8105	35.2117,56.5913	35.0623,54.7997	34.5225,53.3716	33.8742,52.0093	
55.0223,64.6339	53.4474,64.8152	52.1266,65.9308	51.145,67.2924	49.7007,67.9678	48.2821,68.7346	47.2464,69.9828	46.3553,71.2403	45.5028,72.6197	44.7081,73.8948	43.9721,75.2211	43.4784,76.6896	43.0924,78.2994	42.3745,79.6515	41.4467,80.9334	40.5017,82.155	39.1906,83.0457	37.893,83.8851	
55.0357,64.672	53.518,65.1518	52.0536,65.8665	50.812,66.9723	49.7699,68.2699	48.8092,69.6149	47.4688,70.4418	45.981,70.9664	44.5372,71.5038	43.1237,72.0368	41.6574,72.716	40.4734,73.9057	39.4722,75.0804	38.3576,76.0925	37.0562,76.893	35.6098,77.787	34.2176,78.3927	32.8675,79.1227	
54.9991,64.6005	53.4827,64.6727	52.0281,65.3132	50.4678,65.7165	48.8458,65.896	47.2617,66.2153	45.6326,66.2664	44.0725,66.5596	42.3125,66.5204	40.6863,66.437	39.047,66.5198	37.5218,66.7356	36.0059,67.0382	34.5454,67.4636	33.1071,68.0265	31.7918,68.8519	30.2614,69.1282	28.7107,69.1409	
55.013,64.6103	53.4235,64.6422	51.9403,65.0677	50.3694,65.3044	48.7878,65.4587	47.1902,65.668	45.6027,66.0712	44.13,66.8038	42.8912,67.9279	42.0624,69.3912	40.7973,70.4409	39.4587,71.4249	38.2365,72.3404	37.4232,73.6646	36.544,74.923	35.2359,76.0318	33.8377,76.9635	32.5132,77.7301	
55.0105,64.5766	53.3912,64.4271	51.9149,64.8525	50.359,65.1015	48.8648,65.7597	47.322,66.2288	45.6428,65.8874	44.0675,66.5578	42.4677,66.7893	40.8383,66.372	39.4446,65.696	37.9668,65.0307	36.5121,64.2999	34.9112,63.8975	33.332,64.0084	31.811,63.7091	30.1535,63.9614	28.7006,63.283	
55.0345,64.6529	53.4794,64.9147	52.0941,65.662	51.0232,67.1743	50.5389,68.931	49.9907,70.4177	49.5749,71.9567	48.7871,73.5069	48.0106,74.8898	47.562,76.4473	46.9102,77.8952	45.9339,79.2313	44.7965,80.4578	43.7449,81.5932	43.5107,83.214	42.4523,84.3731	41.5057,85.5803	40.8379,86.9794	
55.0173,64.61	53.4674,64.5417	51.9773,65.2595	50.7277,66.4365	49.5867,67.5415	48.1494,68.3293	46.7679,69.1553	45.6514,70.3498	44.3504,71.3048	43.0222,72.2681	42.4566,73.8382	42.0871,75.4905	41.6523,77.0816	41.2592,78.5539	40.154,79.7202	39.0835,80.8215	38.2042,82.0648	36.625,82.8541	
55.0216,64.5867	53.4397,64.5124	51.931,64.6799	50.3385,64.8102	48.8483,65.4815	47.3427,66.0252	45.8215,66.5424	44.4071,67.4027	42.9009,68.009	41.2593,68.257	39.8988,68.9026	38.4173,69.2863	37.2852,70.6216	36.2131,71.7112	34.9675,72.7649	33.4239,73.1808	33.9647,75.574	34.1095,77.1167	
55.0218,64.593	53.4482,64.2711	51.8441,64.5863	50.2755,64.4055	48.6963,63.8133	47.0854,63.7302	45.6516,62.9049	44.5522,61.5662	43.697,60.2641	42.1698,59.5315	40.7103,58.9384	40.3959,57.1917	40.0677,55.5738	39.981,53.9539	39.4635,52.5382	38.3797,51.3872	37.6931,50.0344	37.0584,48.4898	
54.9977,64.585	53.4314,64.7949	51.8941,65.3896	50.8745,66.9482	50.2419,68.5463	49.1981,69.7764	47.8219,70.5404	46.2182,70.8949	44.8893,71.6439	43.3343,72.1839	41.7073,72.4784	40.4659,73.4018	39.0781,74.259	37.6728,75.0859	36.7141,76.5655	35.5761,77.5859	34.6141,78.7737	33.4711,79.8169	
55.0295,64.6248	53.4632,64.58	51.8784,64.863	50.3939,65.4691	48.8177,65.8123	47.5056,66.9436	46.2738,68.0113	44.8945,68.6574	43.2511,68.8902	41.7162,69.4569	40.2405,69.8506	38.5981,70.0028	37.1202,70.3443	35.4918,70.55	33.9209,71.2088	32.3374,70.9763	31.2238,72.7412	30.1585,73.8618	
55.0224,64.5995	53.4439,64.6681	51.9698,65.5526	50.5036,66.1923	49.095,66.9861	47.699,67.782	46.2723,68.5444	44.7517,69.1756	42.9758,69.0961	41.3494,69.2806	39.8324,69.3213	38.3139,69.2194	36.869,69.8514	35.3344,69.6433	33.9224,70.435	32.9444,71.814	31.3361,72.0064	29.6914,71.7138	
55.02,64.6641	53.4924,64.7841	52.0658,65.7673	50.7318,66.6291	49.369,67.4024	47.8992,68.0451	46.5176,68.8156	45.4592,69.9702	44.0214,70.5371	42.8253,71.4831	42.0211,72.8664	40.9843,73.9738	39.5769,74.6584	37.9744,74.9459	36.4453,75.5787	34.957,75.9719	33.2665,76.3287	31.9119,77.0311	
54.9953,64.5571	53.3623,64.1248	51.7835,64.6834	50.3014,65.1527	48.7268,65.3983	47.0713,65.3806	45.5078,64.7802	44.0581,64.0852	42.8004,63.2076	41.5894,62.299	40.7405,60.7935	40.1344,59.3449	39.2137,57.9306	38.3111,56.5524	37.6594,55.1758	36.7868,53.9445	35.733,52.8076	35.4527,51.2269	
55.0062,64.5792	53.4724,64.4622	51.8759,64.5564	50.4663,65.3827	48.9355,65.6846	47.3164,65.6574	45.7058,65.9448	44.0792,66.1918	42.5946,66.9179	41.3092,67.7796	39.9129,68.3447	38.5183,69.2224	37.0316,70.3067	35.4442,70.8299	33.9526,71.2685	32.7917,72.41	31.7065,73.4981	30.0886,74.642	
