55.0249,64.7279	53.4268,64.5831	52.1351,65.6303	50.544,65.7765	
55.0139,64.7205	53.5803,65.3862	52.9828,67.2642	51.9411,68.5258	
55.027,64.7581	53.65,65.601	53.0152,67.4022	52.2952,68.8671	
54.9882,64.7267	53.3352,64.6143	52.1169,65.9681	50.7295,66.7788	
55.0102,64.7264	53.5075,65.1982	52.6181,66.6994	51.3853,67.7665	
55.0141,64.7612	53.4399,64.9017	52.4045,66.6089	51.569,68.0509	
55.0098,64.7254	53.5153,65.1892	53.0897,67.2636	52.0344,68.35	
54.9882,64.7299	53.6417,65.7503	53.1009,67.5069	52.4312,68.9935	
54.9879,64.7261	53.4563,64.874	52.0681,65.7592	50.5982,66.4687	
55.025,64.7356	53.3728,64.4854	51.9718,65.1946	50.9601,66.7879	
55.0106,64.7383	53.2202,63.8324	51.6417,63.7817	50.1178,64.1436	
55.0269,64.7521	53.5714,65.3836	52.8842,67.1433	51.5809,68.0849	
55.0016,64.7309	53.4325,64.7661	52.2097,66.1697	51.3641,67.6661	
54.9882,64.7299	53.5564,65.2514	52.8265,66.9692	51.6571,67.9384	
55.0251,64.7363	53.3657,64.5755	52.185,65.9328	50.6434,66.3821	
54.999,64.7399	53.6446,65.7441	52.9952,67.3749	52.2819,68.7369	
54.9887,64.7368	53.4807,65.1812	52.5899,66.7549	51.427,67.876	
55.0149,64.7371	53.3616,64.5409	52.0689,65.6144	50.3695,65.5407	
55.0029,64.7474	53.3574,64.5154	52.0594,65.6709	51.1472,67.2059	
55.0124,64.7371	53.4597,64.519	51.9868,65.2417	50.9327,66.6957	
54.9887,64.7373	53.4714,65.2077	52.5447,66.6161	51.1208,67.4486	
55.0093,64.7182	53.3559,64.296	51.9525,65.246	50.4194,65.6502	
55.0252,64.7363	53.4481,64.8408	52.2738,66.0888	50.7046,66.4804	
55.0142,64.7581	53.5805,65.4344	52.9409,67.2094	52.0149,68.5212	
55.0263,64.7472	53.4049,64.4974	52.1727,65.7547	51.2146,67.1746	
